symbol,exchange,date,open,high,low,close,volume,split_factor,dividend,daily_return,ma_7,ma_30
AAPL,XNAS,2025-10-17 05:45:00+05:45,248.02,253.38,247.27,252.29,48876500,1,0,0.017216353519877357,249.11714285714288,247.67333333333335
AAPL,XNAS,2025-10-20 05:45:00+05:45,255.89,264.38,255.63,262.24,90370300,1,0,0.024815350345851823,250.28857142857143,248.48533333333336
AAPL,XNAS,2025-10-21 05:45:00+05:45,261.88,265.29,261.83,262.77,46659000,1,0,0.00339850313120508,252.78857142857143,249.43266666666665
AAPL,XNAS,2025-10-22 05:45:00+05:45,262.65,262.85,255.43,258.45,44954300,1,0,-0.01599086236436318,254.32999999999998,250.488
AAPL,XNAS,2025-10-23 05:45:00+05:45,259.94,260.62,258.01,259.58,32647300,1,0,-0.0013849349849965901,256.01714285714286,251.473
AAPL,XNAS,2025-10-24 05:45:00+05:45,261.19,264.13,259.18,262.82,38221700,1,0,0.006240667713158986,257.9428571428571,252.43133333333333
AAPL,XNAS,2025-10-27 05:45:00+05:45,264.88,269.12,264.65,268.81,44701700,1,0,0.01483690727876777,260.9942857142857,253.50166666666667
AAPL,XNAS,2025-10-28 05:45:00+05:45,268.99,269.89,268.15,269,41461500,1,0,3.717610320082867e-05,263.38142857142856,254.53000000000003
AAPL,XNAS,2025-10-29 05:45:00+05:45,269.28,271.41,267.11,269.7,50984000,1,0,0.0015597147950089719,264.44714285714286,255.5536666666667
AAPL,XNAS,2025-10-30 05:45:00+05:45,271.99,274.14,268.48,271.4,68953200,1,0,-0.002169197396963241,265.67999999999995,256.671
AAPL,XNAS,2025-10-31 05:45:00+05:45,276.99,277.32,269.16,270.37,86096700,1,0,-0.02389977977544317,267.3828571428572,257.5
